id,name,address,website,phone_number,latitude,longitude
0,LOGOTHERAPIA D.O.O.,"Ul. Marijana Derenčina 27, 10000, Zagreb",logotherapia.hr,01 4618 600,45.8107543,15.9221728
1,LOGOKOR d.o.o.,"Medulićeva ul. 14/3, 10000, Zagreb",logokor.hr,01 4610 261,45.8107543,15.9221728
2,Ruzicasti Oblak Logopedski Kabinet,"Prisavlje 10, 10000, Zagreb",ruzicastioblak.hr,,45.8107543,15.9221728
3,"Logovježbaonica - logopedski kabinet, Logoped Zagreb","Ul. Damira Tomljanovića 9, 10020, Zagreb",logovjezbaonica.hr,099 209 8333,45.8107543,15.9221728
4,Kraljev govor,"Importanne Galleria, Trg Drage Iblera 10, 10000, Zagreb",,,45.8107543,15.9221728
5,Logopedski Centar Govorni Oblačić,"Vranovinski Ogranak I 4, 10000, Zagreb",logopedski-centar.com,095 299 0299,45.8107543,15.9221728
6,Logopedski kabinet Smjehuljica,"Bosutska ul. 9, 10000, Zagreb",wordpress.com,099 800 8568,45.8107543,15.9221728
7,Logopedski kabinet Marijana Sesjak,"Hercegovačka ul. 5, 10000, Zagreb",lkms.hr,098 947 1572,45.8141963,15.8838603
8,Kod logopeda,"Mihovljanska ul. 7, 10000, Zagreb",,099 565 9932,45.8141963,15.8838603
9,Verbum sanum,"Jarun 43, 10000, Zagreb",verbum-sanum.hr,01 3639 810,45.8141963,15.8838603
10,LogopedAna,"Ul. Božidara Magovca 107, 10000, Zagreb",business.site,095 362 5750,45.7695751,15.9274117
11,Jezik i govor - Logopedska dijagnostika i terapija,"Vajdin vijenac 2, 10000, Zagreb",,01 6600 156,45.7695751,15.9274117
12,Udruga PRO SANO,"Ozaljska ul. 13, 10000, Zagreb",prosano.hr,098 841 680,45.7994947,15.8794918
13,"Majić Kristina, logopedski kabinet","Lopatinečka ul. 13, 10000, Zagreb",logopedskikabinet.com,01 3817 428,45.7929491,15.8410025
14,Naša priča,"Lermanova ul. 65, 10090, Zagreb",,092 194 1115,45.7929491,15.8410025
15,"LOGOPEDSKI KABINET LAPSUS LINGUAE, VL. VEDRANA VOKIĆ","Zavojna ul. 8, 10000, Zagreb",,,45.8210088,15.9050991
16,Logopedski kabinet Rafael,"Lastovska ul. 2A, 10000, Zagreb",logoped-rafael.hr,099 734 6399,45.8210088,15.9050991
17,Logopedski centar Laka riječ,"Ul. kralja Zvonimira 29, 10000, Zagreb",lakarijec.hr,099 545 1137,45.8210088,15.9050991
18,Logo centar Petra Mikuš,"Trg Drage Iblera 9, 10000, Zagreb",,098 524 226,45.8210088,15.9050991
19,Logopedski kabinet Gligora Segedi,"Vrisnička ul. 16, 10000, Zagreb",logopedskikabinet-gligorasegedi.hr,091 588 6677,45.7878985,15.8520669
20,Oković d.o.o.,"Lošinjska ul. 16, 10000, Zagreb",okovic.hr,091 293 0746,45.7878985,15.8520669
21,LOGOS KALOS d.o.o.,"Kamaufova ul. 10, 10000, Zagreb",,01 4664 047,45.8145964,15.9212207
22,Logopedski studio Ritam Riječi,"4 kat, Pete Poljanice 9, 10040, Zagreb",logopedski-studio-ritam-rijeci.hr,091 416 7114,45.8294656,16.0036949
23,Logopedski kabinet Gligora Segedi,"Vrisnička ul. 16, 10000, Zagreb",logopedskikabinet-gligorasegedi.hr,091 588 6677,45.7878985,15.8520669
24,Logopedsko-rehabilitacijski centar ABC,"Zagrebačka cesta 126, 10000, Zagreb",abccentar.com,095 375 3761,45.7878985,15.8520669
25,SISAK LOGOPED,"Masarykova ul., 10000, Zagreb",,091 526 5631,45.8106249,15.9002267
